Server_1,Server_2,Server_3,Server_4,Server_5, Server_6,Server_7,Server_8,Server_9,Server_10,Server_11,Server_12,Server_13,Server_14,Server_15,Server_16,Server_17,Server_18,Server_19,Server_20,Server_21,Server_22,Server_23,Server_24,Server_25
276,1074,189,22,391,33,103,112,531,293,517,2085,217,124,1236,475,162,330,419,583,102,63,1150,281,2311
254,1646,88,25,395,34,105,7197,84,289,517,1965,217,123,1337,480,130,322,496,604,93,64,547,328,2250
281,1092,85,24,391,34,104,1651,82,286,516,1928,218,121,1212,473,480,315,590,565,91,58,967,272,2248
258,1106,84,25,390,32,102,102,330,289,749,2259,1018,126,1285,478,129,307,140,688,91,60,556,248,2247
2420,3270,2346,2254,2163,1918,1807,225,1634,1505,1665,2878,240,792,1152,1055,128,577,437,579,91,70,571,228,2290
264,1074,87,26,395,33,102,115,83,364,522,1918,219,123,1187,474,129,306,370,562,95,101,5570,250,2253
284,1069,86,85,393,34,102,236,318,322,516,1998,217,122,1022,479,128,306,150,565,92,75,1395,212,2251
268,1063,88,24,391,32,102,4197,84,304,517,4706,217,121,868,478,128,404,171,556,91,68,907,234,2250
281,1062,88,28,390,33,102,108,83,304,519,6096,218,121,642,485,128,307,234,556,98,90,547,313,2252
261,1097,226,27,407,35,101,183,87,322,745,5631,219,127,628,501,127,356,801,555,99,171,2364,337,2240
267,1055,85,24,390,33,103,42044,83,285,517,6154,220,122,483,480,129,311,2149,708,92,136,1142,285,2239
304,1079,87,24,393,33,102,99,88,298,516,6335,218,123,464,482,128,312,518,659,95,108,2375,1206,2847
483,1089,87,48,393,34,104,175,173,295,516,3484,217,123,465,512,133,307,957,553,91,70,2714,280,2259
257,1252,108,25,390,35,101,7292,82,337,516,2806,217,124,467,479,128,307,846,545,92,80,541,204,2240
260,1082,85,26,391,33,106,147,82,341,517,3634,226,121,459,486,128,305,501,563,95,59,814,236,2254
258,1078,87,25,392,36,102,134,96,316,2764,5481,220,128,474,479,130,307,342,738,99,67,1157,248,2243
257,1060,87,25,391,34,102,112,98,338,517,1916,216,159,523,475,141,314,602,545,96,111,1303,270,2258
265,1183,108,25,392,34,102,124,84,315,516,5392,217,137,488,480,142,307,1280,563,91,220,1042,576,2243
253,1071,83,23,391,32,101,117,105,285,517,6283,221,457,536,478,130,308,462,636,93,103,539,250,2250
264,1062,860,34,395,35,107,2244,86,309,519,5729,218,3417,465,478,129,309,486,577,92,781,903,324,2258
254,1057,106,22,392,36,104,113,84,339,516,5034,237,505,465,476,128,305,219,564,93,199,1047,255,2255
255,1061,83,26,399,32,101,162,237,291,696,5821,218,440,454,482,129,308,585,586,101,484,535,291,2256
257,1098,281,25,392,32,108,214,141,279,517,3380,217,345,455,490,130,305,116,568,100,127,543,486,2263
253,1080,84,25,391,32,101,184,157,339,516,4994,217,125,468,474,131,308,433,573,95,89,537,769,2448
262,1097,83,24,392,33,103,114,184,287,516,4199,217,125,477,474,129,308,176,553,92,64,3825,447,2296
306,1117,87,27,389,33,102,2269,82,288,516,6201,216,124,579,475,130,309,444,561,94,97,902,279,2263
255,1711,110,25,391,32,101,163,174,291,517,6282,216,356,458,487,128,307,681,556,99,93,533,966,2252
253,1080,95,24,408,32,106,129,160,289,695,6358,232,144,518,476,133,309,546,545,94,115,1197,245,2256
254,1121,107,43,390,33,104,161,164,288,530,3899,220,164,471,483,129,306,193,570,94,56,990,249,2266
263,1368,84,57,390,46,104,146,84,301,532,4437,219,124,490,477,130,338,139,545,93,121,2370,277,2259
255,1123,287,23,392,33,103,190,235,304,516,2469,216,130,466,476,131,305,577,549,103,89,539,274,2248
